1,341,5
1,177,3.7
1,55,0.8
1,112,2.6
1,32,2.2
1,230,0.2
1,363,3.6
1,345,3.7
1,355,1.7
1,82,2.2
1,289,0.5
1,44,1.2
1,99,0.6
1,399,4.8
1,269,0.6
1,147,1.3
1,214,1.4
1,382,2
1,375,0.6
2,282,1.3
2,121,1.6
2,130,4.9
2,62,0.2
2,187,1.8
2,20,4.1
2,381,4.5
2,206,4.2
2,365,3.2
2,207,3.5
2,16,4.2
2,383,0.7
2,362,1.7
2,170,1.8
2,216,3.7
2,114,4
2,87,0.2
2,304,1.5
2,285,2
2,356,1.1
3,209,2
3,135,3.7
3,290,1.3
3,171,1
3,318,1.9
3,313,0.5
3,354,1.8
3,237,1.4
3,131,3.5
3,233,1.5
3,261,2
3,367,3.1
3,96,2.6
3,14,4.9
3,26,3.5
3,346,3.5
3,244,0.4
3,51,1.6
3,370,3.1
3,376,1.6
4,284,0.5
4,90,1.4
4,322,1.4
4,231,2.3
4,353,4
4,219,0.6
4,358,2.1
4,183,4.8
4,298,2.1
4,361,0.1
4,173,0.9
4,327,4.5
4,103,2.9
4,27,2.9
4,122,2.5
4,192,1.6
4,215,4
4,138,4.6
4,196,2.8
4,374,2.5
5,17,0.4
5,211,3.3
5,84,4.5
5,315,0.1
5,396,0.6
5,91,3.8
5,275,0.7
5,23,4.5
5,272,0.7
5,349,0.8
5,76,1.2
5,198,1.3
5,1,1.2
5,294,2.4
5,208,3.5
5,9,4.5
5,191,4.1
5,74,2.2
5,117,0.4
5,98,0.7
6,50,3.5
6,101,4.1
6,28,0.4
6,22,3.1
6,3,1.6
6,92,2.5
6,299,4.3
6,393,4
6,336,4.6
6,73,2.6
6,167,1.3
6,193,1.8
6,397,2.3
6,141,1.2
6,307,0.4
6,61,3.3
6,58,4
6,332,2
6,202,2.3
6,203,2.1
7,238,0.5
7,140,1.9
7,127,2.2
7,324,0
7,310,0.3
7,149,1.4
7,371,3.8
7,134,1.7
7,391,4.2
7,129,1.6
7,247,4.8
7,4,4.7
7,348,4.8
7,259,5
7,239,0.5
7,15,1.5
7,8,2.8
7,107,2.1
7,281,1.3
7,83,3.8
8,293,1
8,35,3.7
8,250,1
8,317,3.6
8,38,0.9
8,184,3.7
8,89,4.4
8,398,4.6
8,245,2.6
8,359,2.8
8,338,2.6
8,210,4
8,390,2.3
8,80,1.3
8,372,2.3
8,340,2.2
8,18,3.6
8,157,1
8,305,1.7
8,70,0.6
9,242,1
9,342,2.6
9,31,1.2
9,212,4.3
9,339,0.7
9,52,4.1
9,277,1.6
9,300,4.1
9,106,4.7
9,205,1.8
9,94,3.4
9,254,1.2
9,344,3.7
9,246,0.5
9,263,2.9
9,295,2.9
9,312,4.9
9,142,2
9,63,4
9,253,1.2
10,181,0.7
10,218,4.5
10,111,4.9
10,30,0.7
10,256,2.4
10,37,1.8
10,222,2.6
10,144,0.2
10,357,1
10,188,4.4
10,271,2.5
10,53,1.2
10,108,1.1
10,75,4.6
10,139,1.5
10,186,0.8
10,159,2.1
10,388,0.8
10,302,1.2
10,56,3.8
11,395,0.4
11,379,4.4
11,72,2.9
11,258,3.6
11,176,2.4
11,321,3.3
11,288,2.3
